FID,CITY_NAME,CITY_ENG,OSTAN_NAME
361,شوسف,Shusf,خراسان جنوبي
362,اديمي,Adimi,سيستان وبلوچستان
363,زابل,Zabol,سيستان وبلوچستان
364,بنجار,Bonjar,سيستان وبلوچستان
365,دوست محمد,Dustmohammad,سيستان وبلوچستان
366,محمدآباد,Mohammadabad,سيستان وبلوچستان
367,زهك,Zahak,سيستان وبلوچستان
368,نصرت آباد,Nosratabad,سيستان وبلوچستان
369,علي اكبر,Aliakbar,سيستان وبلوچستان
370,ميرجاوه,Mirjaveh,سيستان وبلوچستان
371,زاهدان,Zahedan,سيستان وبلوچستان
372,آستارا,Astara,گيلان
373,قدس,Qods,تهران
374,گرمدره,Garmdareh,تهران
375,چهاردانگه,Chahardangeh,تهران
376,تهران,Tehran,تهران
377,ري,Rey,تهران
378,تجريش,Tajrish,تهران
379,تبريز,Tabriz,آذربايجان شرقي
380,هندودر,Hodudar,مركزي
381,نياسر,Niyasar,اصفهان
382,جوشقان وكامو,Joshaqan va Kamu,اصفهان
383,برزك,Barzok,اصفهان
384,مؤمن آباد,Momenabad,لرستان
385,كمشچه,Komshecheh,اصفهان
386,كهريزسنگ,Kahrizsang,اصفهان
387,آران وبيدگل,Aran va Bidgol,اصفهان
388,نوش آباد,Nushabad,اصفهان
389,انارك,Anarak,اصفهان
390,وحيديه,Vahidiyeh,تهران
391,فردوسيه,Ferdosiyeh,تهران
392,شاهدشهر,Shahedshahr,تهران
393,صباشهر,Sabashahr,تهران
394,نسيم شهر,Nasimshahr,تهران
395,رباط كريم,Robatkarim,تهران
396,گلستان,Golestan,تهران
397,صالح آباد,Salehabad,تهران
398,حسن آباد,Hasanabad,تهران
399,اسلامشهر,Eslamshahr,تهران
400,كهريزك,Kahrizak,تهران
401,باقرشهر,Baqershahr,تهران
402,جوادآباد,Javadabad,تهران
403,پيشوا,Pishva,تهران
404,ورامين,Varamin,تهران
405,قرچك,Qarchak,تهران
406,پاكدشت,Pakdasht,تهران
407,شريف آباد,Sharifabad,تهران
408,لواسان,Lavasan,تهران
409,بومهن,Bumehen,تهران
410,پرديس,Pardis,تهران
411,رودهن,Rudehen,تهران
412,آبعلي,Abali,تهران
413,دماوند,Damavand,تهران
414,ايوانكي,Eyvanekey,سمنان
